business_name,owner_name,email,phone,website,address_street,address_city,address_state,address_zip,lat,lng,certifications,services,years_in_business,license_number,insurance_verified
AllClear Inspection Services,Michael Brown,michaelbrown@gmail.com,(520) 258-5329,,2363 Second Avenue,Augusta,GA,33807,40.015290349138276,-97.95472193847047,NAHI; CREIA,Home Inspection; Plumbing Inspection,20,,true
Thorough Property Assessments,Kenneth Martinez,kennethmartinez.inspection@outlook.com,(334) 348-1714,https://www.thoroughassessmentsinspections.com,2145 Maple Drive,Augusta,GA,18707,40.03769868293323,-97.96264924817501,InterNACHI,Home Inspection; Radon Testing,11,,true
TrustPoint Home Inspection,James Jones,info@jamesjones.com,(334) 578-2282,https://www.trustpointproperty.net,951 Maple Drive,Augusta,GA,77965,40.035588301999226,-97.96259918483138,ASHI; InterNACHI,Home Inspection; Plumbing Inspection,25,,true
Accurate Home Inspections,David Lopez,info@davidlopez.com,(256) 952-2445,https://accurate.com,9679 Maple Drive,Augusta,GA,60141,39.974905389683926,-98.04768454187086,ICC; ASHI,Home Inspection; Radon Testing,17,,true
Detailed Home Inspection Co.,Mark Hernandez,info@markhernandez.com,(205) 512-8322,https://detailedco.com,8178 Third Street,Augusta,GA,27007,39.98389992693262,-98.01732132188037,Certified; Licensed,Home Inspection; Plumbing Inspection,22,,false
TrustPoint Home Inspection,Steven Wilson,stevenwilson32@homeinspections.com,(907) 150-7320,,5631 Madison Street,Augusta,GA,34336,39.99923556752975,-98.00039583119542,ASHI,Residential Inspection; Electrical Inspection,18,,true
Professional Property Evaluations,Andrew Rodriguez,info@andrewrodriguez.com,(520) 570-2610,,3521 School Street,Augusta,GA,16865,39.96985145692966,-97.98171114253215,NAHI; CREIA,Home Inspection; Pool Inspection; HVAC Inspection,14,,false
Professional Property Evaluations,Michael Garcia,michaelgarcia40@gmail.com,(256) 119-3735,,2796 Maple Drive,Augusta,GA,71870,39.961026532099154,-98.01034363702571,IAEI; ICC,Residential Inspection; Electrical Inspection,2,,true
Professional Property Evaluations,Christopher Miller,christophermiller@gmail.com,(928) 961-5871,https://www.professionalevaluationsinspections.com,7535 Elm Street,Augusta,GA,85068,40.0244647168305,-98.01568623497407,Licensed,Residential Inspection; New Construction Inspection,13,,false
AllClear Inspection Services,Michael Johnson,contact@michaeljohnsoninspections.com,(205) 994-9930,,4979 Third Street,Augusta,GA,58929,40.00453791166678,-98.04267184648438,InterNACHI,Home Inspection; Well Water Testing,20,,true
Complete Home Inspection Services,John Martinez,johnmartinez@homeinspections.com,(602) 305-9179,,6669 Washington Avenue,Augusta,GA,81545,39.99183297741014,-97.9838990564629,Certified; Licensed,Residential Inspection; New Construction Inspection,18,LIC75165,true
Premier Property Inspection Services,David Hernandez,davidhernandez.inspection@yahoo.com,(480) 928-8427,https://www.premierervicesproperty.net,2242 Cedar Lane,Boise,ID,52136,43.60226757083635,-116.2085012988778,ASHI,Home Inspection; Pool Inspection; HVAC Inspection,7,LIC46515,true
Premier Property Inspection Services,David Martinez,info@davidmartinez.com,(928) 200-8199,,2852 Second Avenue,Boise,ID,44587,43.58436244701312,-116.20975562021157,Licensed,Property Inspection; Septic Inspection,25,,false
SafeCheck Home Inspections,Thomas Williams,contact@thomaswilliamsinspections.com,(907) 927-4031,https://safecheck.com,5346 Lincoln Drive,Boise,ID,68326,43.63673232978942,-116.20290247870874,ASHI; InterNACHI,Home Inspection; Mold Testing; Termite Inspection,14,,true
Premier Property Inspection Services,David Miller,info@davidmiller.com,(256) 115-7643,https://www.premierervicesinspections.com,6864 Cedar Lane,Boise,ID,87971,43.57499001960267,-116.250479092959,Certified; Licensed,Home Inspection; Pool Inspection; HVAC Inspection,17,,true
AllClear Inspection Services,Thomas Davis,thomasdavis@hotmail.com,(928) 113-4882,https://allclearerviceshome.com,7563 Elm Street,Boise,ID,75503,43.65938157285618,-116.16078670445671,Certified; Licensed,Home Inspection; Pool Inspection; HVAC Inspection,14,,true
Reliable Residential Inspections,John Williams,johnwilliams@homeinspections.com,(334) 782-7329,,5755 Main Street,Boise,ID,37700,43.64266882846248,-116.19129928237238,Licensed,Property Inspection; Septic Inspection,20,LIC53483,true
Quality First Home Inspectors,James Jones,jamesjones6@propertycheck.com,(928) 933-6929,https://qualityfirstinspectorshome.com,6162 Maple Drive,Boise,ID,95168,43.578137363615674,-116.20934744917557,ICC; ASHI,Home Inspection; Foundation Inspection,1,LIC21781,true
First Choice Home Inspections,David Jones,davidjones@homeinspections.com,(907) 627-5349,https://firstchoice.com,8106 Maple Drive,Boise,ID,90682,43.60931591845027,-116.20464425151968,Licensed,Home Inspection; Foundation Inspection,4,,true
TrustPoint Home Inspection,Kenneth Smith,kennethsmith55@inspection.net,(602) 639-4779,https://trustpointhome.com,8635 Park Avenue,Boise,ID,55734,43.587582898182276,-116.2073437118483,ASHI; InterNACHI,Home Inspection; Foundation Inspection,19,LIC58654,true
Certified Property Inspectors,Kenneth Garcia,kennethgarcia.inspection@yahoo.com,(334) 878-3235,https://www.certifiedinspectorsinspections.com,4835 School Street,Boise,ID,98881,43.6483790055194,-116.24358061235233,IAEI; ICC,Home Inspection; Plumbing Inspection,19,,false
Reliable Residential Inspections,David Lopez,davidlopez48@propertycheck.com,(251) 927-2763,https://reliableresidentialhome.com,4667 Oak Avenue,Boise,ID,52619,43.65569636506734,-116.2152447363418,InterNACHI; NACHI,Home Inspection; Mold Testing; Termite Inspection,17,,true
Certified Property Inspectors,William Hernandez,williamhernandez.inspection@inspection.net,(928) 677-5739,https://certifiedinspectorshome.com,2576 Third Street,Boise,ID,32580,43.61139079057975,-116.18186015455213,ASHI,Home Inspection; Well Water Testing,7,LIC46410,true
HomeGuard Inspection Company,Steven Gonzalez,stevengonzalez@yahoo.com,(334) 833-7413,https://guardcompanyhome.com,3095 Lincoln Drive,Boise,ID,10054,43.64242144069161,-116.21827633878641,ICC; ASHI,Home Inspection; Foundation Inspection,18,,true
Quality First Home Inspectors,Christopher Anderson,contact@christopherandersoninspections.com,(928) 520-8407,https://www.qualityfirstinspectorsinspections.com,3457 Cedar Lane,Boise,ID,79815,43.59298204143401,-116.2466421058677,ASHI; InterNACHI,Property Inspection; Roof Inspection,18,,true
AllClear Inspection Services,James Smith,info@jamessmith.com,(928) 548-5684,https://allclearervices.com,8560 Lincoln Drive,Boise,ID,58730,43.616601074860824,-116.23770819679045,IAEI; ICC,Home Inspection; Well Water Testing,5,,true
HomeGuard Inspection Company,Thomas Hernandez,thomashernandez.inspection@aol.com,(334) 322-3376,https://guardcompanyhome.com,2423 Madison Street,Boise,ID,34191,43.62536744321632,-116.23704433453373,Licensed,Home Inspection; Pool Inspection; HVAC Inspection,24,,true
Professional Property Evaluations,Thomas Jones,contact@thomasjonesinspections.com,(623) 345-7532,,3028 Church Road,Boise,ID,92947,43.57962299206882,-116.17588232674915,ASHI,Property Inspection; Septic Inspection,19,LIC69169,true
Thorough Property Assessments,David Brown,davidbrown@inspection.net,(602) 708-4955,,2528 Pine Road,Boise,ID,83035,43.57807927089794,-116.21600574598317,Certified; Licensed,Property Inspection; Septic Inspection,4,,true
AllClear Inspection Services,Robert Garcia,robertgarcia.inspection@inspection.net,(205) 704-1007,https://allclearerviceshome.com,7349 Pine Road,Boise,ID,35825,43.586165684595066,-116.24903753422679,InterNACHI,Home Inspection; Plumbing Inspection,7,,true
Certified Property Inspectors,Robert Garcia,robertgarcia.inspection@homeinspections.com,(251) 667-4545,https://www.certifiedinspectorsinspections.com,1636 Cedar Lane,Boise,ID,12676,43.58690057574102,-116.24286793266627,Certified; Licensed,Property Inspection; Roof Inspection,20,LIC21656,false
First Choice Home Inspections,Steven Martinez,contact@stevenmartinezinspections.com,(907) 874-1137,https://www.firstchoiceinspections.com,5911 Main Street,Meridian,ID,76510,39.96225890694731,-97.96934929582181,NAHI; CREIA,Home Inspection; Plumbing Inspection,1,,true
First Choice Home Inspections,Michael Garcia,michaelgarcia@yahoo.com,(928) 610-2441,https://firstchoicehome.com,7578 Main Street,Meridian,ID,76033,39.959123177871085,-98.01285406408833,InterNACHI; NACHI,Home Inspection; Well Water Testing,8,,true
First Choice Home Inspections,Michael Brown,michaelbrown@yahoo.com,(907) 485-4811,https://firstchoice.com,305 School Street,Meridian,ID,40218,39.95700451102607,-98.03662535668556,InterNACHI; NACHI,Property Inspection; Septic Inspection,7,,true
Eagle Eye Property Inspections,Steven Garcia,contact@stevengarciainspections.com,(251) 844-4940,https://eagleeyehome.com,2874 Lincoln Drive,Meridian,ID,79608,40.04315928169787,-98.00966658234762,Licensed,Home Inspection; Plumbing Inspection,3,,true
Accurate Home Inspections,William Lopez,contact@williamlopezinspections.com,(205) 291-3626,https://www.accurateproperty.net,9393 Park Avenue,Meridian,ID,17541,39.99046340100808,-98.02179289782354,NAHI; CREIA,Home Inspection; Plumbing Inspection,25,,true
Detailed Home Inspection Co.,Christopher Gonzalez,christophergonzalez62@hotmail.com,(623) 706-6592,https://detailedco.com,9978 Elm Street,Meridian,ID,82171,40.048628277392055,-98.02790104105837,Certified; Licensed,Home Inspection; Radon Testing,25,LIC3634,false
Certified Property Inspectors,John Williams,johnwilliams@gmail.com,(602) 310-6984,,6164 Maple Drive,Meridian,ID,98565,39.97853592107971,-97.98099335421318,InterNACHI; NACHI,Property Inspection; Septic Inspection,12,,true
Complete Home Inspection Services,Daniel Wilson,danielwilson82@yahoo.com,(520) 551-3072,,9020 Madison Street,Meridian,ID,22690,40.03434687877328,-97.96408918909222,ICC; ASHI,Home Inspection; Plumbing Inspection,22,,true
Professional Property Evaluations,Brian Jones,contact@brianjonesinspections.com,(205) 869-2692,https://professionalevaluations.com,2229 Maple Drive,Meridian,ID,36939,39.966494361957395,-97.9771570698876,NAHI; CREIA,Home Inspection; Pool Inspection; HVAC Inspection,7,LIC56686,true
Eagle Eye Property Inspections,Daniel Hernandez,info@danielhernandez.com,(334) 270-6248,,490 Church Road,Meridian,ID,73207,39.99578340562823,-98.0274681687675,Licensed,Home Inspection; Radon Testing,20,,false
Quality First Home Inspectors,Daniel Hernandez,danielhernandez.inspection@gmail.com,(602) 430-8913,https://qualityfirstinspectors.com,615 Park Avenue,Meridian,ID,51766,40.04892063053003,-97.95618184228132,IAEI; ICC,Residential Inspection; Electrical Inspection,11,,false
First Choice Home Inspections,David Smith,info@davidsmith.com,(334) 178-4571,https://www.firstchoiceinspections.com,2309 Church Road,Detroit,MI,41077,39.95034053242794,-97.9815469745772,InterNACHI; NACHI,Home Inspection; Plumbing Inspection,2,,true
Thorough Property Assessments,Andrew Williams,andrewwilliams.inspection@inspection.net,(928) 454-7106,https://thoroughassessments.com,3209 Third Street,Detroit,MI,57533,39.99639064570274,-97.99056405528356,ASHI; InterNACHI,Property Inspection; Septic Inspection,23,,false
Complete Home Inspection Services,John Smith,contact@johnsmithinspections.com,(256) 361-8419,https://completeervices.com,8915 Lincoln Drive,Detroit,MI,35862,40.0165966272602,-97.99076225216072,Licensed,Home Inspection; Radon Testing,24,,true
TrustPoint Home Inspection,Christopher Miller,christophermiller@outlook.com,(480) 946-8481,https://trustpoint.com,9245 Park Avenue,Detroit,MI,48859,40.013196965893044,-97.96243874805945,ASHI; InterNACHI,Home Inspection; Mold Testing; Termite Inspection,4,,true
Certified Property Inspectors,Paul Smith,contact@paulsmithinspections.com,(251) 405-7782,https://certifiedinspectorshome.com,6846 Cedar Lane,Detroit,MI,88066,40.01048924969421,-98.03180659514484,InterNACHI,Residential Inspection; New Construction Inspection,9,LIC84706,true
Premier Property Inspection Services,David Johnson,davidjohnson8@propertycheck.com,(334) 870-1580,https://premiererviceshome.com,2129 Washington Avenue,Detroit,MI,17512,39.967058002021844,-97.96841260277859,NAHI; CREIA,Residential Inspection; New Construction Inspection,14,,true
AllClear Inspection Services,Mark Williams,markwilliams@yahoo.com,(907) 933-4785,https://www.allclearervicesinspections.com,5561 Washington Avenue,Detroit,MI,54764,39.974465758993226,-97.96053193039324,NAHI; CREIA,Home Inspection; Mold Testing; Termite Inspection,17,,true
Premier Property Inspection Services,Michael Anderson,michaelanderson79@yahoo.com,(251) 452-5664,https://www.premierervicesinspections.com,4326 Madison Street,Detroit,MI,73356,39.9847435964983,-97.9514796845176,Certified; Licensed,Home Inspection; Foundation Inspection,5,,true
Detailed Home Inspection Co.,William Davis,contact@williamdavisinspections.com,(256) 942-8514,https://detailedco.com,4586 Church Road,Detroit,MI,87657,39.962039357011164,-97.96721861279268,ASHI,Home Inspection; Well Water Testing,21,,true
HomeGuard Inspection Company,Paul Martinez,info@paulmartinez.com,(256) 683-4455,https://www.guardcompanyproperty.net,7458 Washington Avenue,Detroit,MI,81831,39.97731442845693,-97.9622927616712,AHIT,Home Inspection; Plumbing Inspection,5,,true
Quality First Home Inspectors,Brian Jones,contact@brianjonesinspections.com,(334) 412-2612,https://qualityfirstinspectorshome.com,3930 Pine Road,Detroit,MI,69242,39.983542428084554,-98.01109149908739,ICC; ASHI,Home Inspection; Radon Testing,20,,true
SafeCheck Home Inspections,Paul Johnson,info@pauljohnson.com,(907) 510-8923,https://www.safecheckproperty.net,8109 Madison Street,Detroit,MI,30994,39.95725593390796,-98.0170049132162,IAEI; ICC,Home Inspection; Pool Inspection; HVAC Inspection,2,LIC31865,true
First Choice Home Inspections,John Smith,info@johnsmith.com,(520) 373-8234,https://www.firstchoiceproperty.net,1903 Park Avenue,Grand Rapids,MI,31645,39.95013952682464,-97.9699887521043,ASHI,Home Inspection; Well Water Testing,19,,true
Reliable Residential Inspections,Kenneth Jones,contact@kennethjonesinspections.com,(907) 969-8797,https://reliableresidential.com,6500 School Street,Grand Rapids,MI,63434,40.04163820438881,-97.97904696721703,Certified; Licensed,Home Inspection; Plumbing Inspection,16,,false
Complete Home Inspection Services,James Hernandez,info@jameshernandez.com,(480) 286-6263,https://completeervices.com,3464 Washington Avenue,Grand Rapids,MI,99678,40.00313694104475,-97.96894564961876,ICC; ASHI,Residential Inspection; Electrical Inspection,24,LIC9016,true
Detailed Home Inspection Co.,Thomas Wilson,contact@thomaswilsoninspections.com,(205) 474-3050,https://www.detailedcoinspections.com,4402 Main Street,Grand Rapids,MI,19526,40.03598489497037,-97.98275618054272,ICC; ASHI,Property Inspection; Septic Inspection,23,,true
Thorough Property Assessments,David Lopez,contact@davidlopezinspections.com,(334) 431-1756,,10 Second Avenue,Grand Rapids,MI,95329,39.96383054072169,-97.98368727136904,InterNACHI; NACHI,Home Inspection; Well Water Testing,11,,true
Complete Home Inspection Services,Andrew Gonzalez,info@andrewgonzalez.com,(602) 661-6849,https://completeerviceshome.com,6803 Second Avenue,Grand Rapids,MI,66842,40.04672503300402,-97.95671199891305,ICC; ASHI,Home Inspection; Radon Testing,7,,true
Reliable Residential Inspections,Steven Lopez,contact@stevenlopezinspections.com,(480) 392-6121,https://www.reliableresidentialinspections.com,4815 Elm Street,Grand Rapids,MI,23166,39.95619148382062,-97.99529601751696,ASHI; InterNACHI,Property Inspection; Roof Inspection,24,,true
SafeCheck Home Inspections,Christopher Lopez,info@christopherlopez.com,(907) 518-6094,https://safecheck.com,3128 Pine Road,Grand Rapids,MI,75264,40.01377225162044,-97.95539469826814,IAEI; ICC,Home Inspection; Mold Testing; Termite Inspection,6,,true
Professional Property Evaluations,James Williams,contact@jameswilliamsinspections.com,(251) 409-6423,,2144 Washington Avenue,Grand Rapids,MI,68589,40.02193284973159,-98.00548710304115,Certified; Licensed,Home Inspection; Mold Testing; Termite Inspection,4,,true
First Choice Home Inspections,Kenneth Hernandez,contact@kennethhernandezinspections.com,(251) 564-7651,https://firstchoice.com,5603 Pine Road,Grand Rapids,MI,31850,39.95571161633905,-98.04609625072801,InterNACHI; NACHI,Property Inspection; Septic Inspection,22,LIC39074,true
Professional Property Evaluations,David Johnson,info@davidjohnson.com,(520) 385-6645,https://www.professionalevaluationsproperty.net,1643 Third Street,Grand Rapids,MI,11026,39.973430760557704,-98.04753548803859,InterNACHI; NACHI,Home Inspection; Plumbing Inspection,2,,true
SafeCheck Home Inspections,Mark Lopez,marklopez.inspection@aol.com,(205) 907-5652,https://www.safecheckinspections.com,6929 Elm Street,Grand Rapids,MI,23048,40.003672360848604,-97.95554675619509,Certified; Licensed,Residential Inspection; Electrical Inspection,12,LIC45092,true
Reliable Residential Inspections,Paul Williams,paulwilliams@propertycheck.com,(520) 957-7788,https://www.reliableresidentialinspections.com,1132 Cedar Lane,Grand Rapids,MI,98618,40.03427422507712,-98.03139051180042,AHIT,Home Inspection; Mold Testing; Termite Inspection,7,,true
Accurate Home Inspections,Brian Jones,contact@brianjonesinspections.com,(251) 814-3331,https://www.accurateproperty.net,4937 First Street,Grand Rapids,MI,96895,40.041186885637885,-98.04341601065796,InterNACHI; NACHI,Home Inspection; Well Water Testing,2,,true
HomeGuard Inspection Company,Robert Gonzalez,contact@robertgonzalezinspections.com,(334) 635-6704,https://www.guardcompanyinspections.com,3092 Cedar Lane,Grand Rapids,MI,56315,39.978097528860204,-98.04661129950556,Licensed,Residential Inspection; Electrical Inspection,25,LIC66835,false
Detailed Home Inspection Co.,James Miller,jamesmiller.inspection@inspection.net,(205) 415-1077,https://detailedco.com,9963 Maple Drive,Grand Rapids,MI,59614,40.02807579593692,-97.96044713633574,InterNACHI,Home Inspection; Well Water Testing,7,LIC45955,false
Thorough Property Assessments,David Williams,contact@davidwilliamsinspections.com,(602) 309-5498,https://thoroughassessments.com,422 Cedar Lane,Grand Rapids,MI,68479,40.01238625555442,-98.01420171995298,ASHI; InterNACHI,Home Inspection; Mold Testing; Termite Inspection,20,,true
Reliable Residential Inspections,Michael Williams,contact@michaelwilliamsinspections.com,(928) 409-8909,,6204 Second Avenue,Grand Rapids,MI,40222,40.03391965692301,-97.9929643503797,InterNACHI; NACHI,Residential Inspection; Electrical Inspection,10,,true
